এখন কয়টা বাজে, Positive
কে আছি কিছুই তো বুঝি না, Negative
হ্যালো রিবো, Positive
হ্যালো রিবো, Positive
হ্যালো বলিব, Positive
তোমার নাম কি, Positive
কথা বলিস না কেন, Negative
হ্যালো রিবো, Positive
তোমার নাম, Positive
তোমার নাম কি, Positive
আমার নাম কি, Positive
আমার নামটি বদলিয়ে দেব, Negative
আমাকে না হবে না হবে ঘুম, Negative
তোমার হবি কি, Positive
ভালো সুন্দর হবে, Positive
তুমি কি আমাকে বুঝতে পারতেছ না, Negative
কিছুটা তো লাগবেই, Positive
হ্যালো রিবো, Positive
তোমার নাম কী, Positive
আমার নাম কী, Positive
তুমি কে, Positive
আমি ভুলে গেছি, Negative
হ্যালো রিবো, Positive
হ্যালো রিবো, Positive
কেমন আছো, Positive
কি অবস্থা, Positive
তোমার বন্ধু কয়জন, Positive
কয়েকজন বন্ধুর নাম বল, Positive
কি হইছে তোমার, Positive
তাহলে কাজ কর না ঠিক মত, Positive
আমি পছন্দ কেন করব, Negative
কিছু না, Positive
বই পড়ি না, Negative
অবাক না হওয়ার কি আছে, Negative
না, কেউ বলেনি কখনো, Positive
কি বুঝ তাহলে, Positive
কিছু বুঝ না, Negative
বাংলাদেশের জেলা কয়টি, Positive
কি অবস্থা তোমার, Positive
আমিও ভাল আছি, Positive
তোমার নাম কি, Positive
আমিও খুশি হলাম রিবো, Positive
তুমি কি কি করতে পার, Positive
আর কিছু পার না, Negative
কি কি পার, Positive
কি চিন্তা করব, Positive
ভাল না, Negative
চিনি না, Negative
কেমন আছ রিবো, Positive
তোমার নাম, Positive
নাম কি, Positive
তুমি ভাল, Positive
আমি কেমন, Positive
আমি কেমন মেয়ে, Positive
তুমি ত বোকা, Negative
হ্যা তুমি কর, Positive
না বলব না, Negative
না তো, Negative
কেমন আছ, Positive
জাফর স্যার, Positive
তাহলে যাই, Positive
কি কর, Positive
বলব না, Negative
না করব না, Negative
আর কথা বলব না, Negative
রোবট ফালতু, Negative
তোমার নাম বলবে না, Negative
করব না, Negative
বল্ব না, Negative
ভাল না, Negative
কফি হাউসের সেই আড্ডাটা আজ আর নেই, Negative
কেউ বলেনি কোনোদিন, Negative
আমার তো কোনো বন্ধু নেই, Negative
আমাকে চালাক ভাবতেছ, Negative
করব না কেন, Negative
আমার ঘুমাতে ভাল লাগে গাধা, Negative
কেন নেই, Negative
কিছুই পার না, Negative
বুদ্ধিও নাই তোমার, Negative
বুঝতেছি না, Negative
আজ আর নেই, Negative
তোমার বন্ধু নাই, Negative
কিছুই তো দেখি পারনা, Negative
মন ভাল না, Negative
কিছু ভাল লাগেনা, Negative
আমি পারিনা, Negative
আমি কিছুই পারিনা, Negative
মনে পরছে না, Negative
রোবট খুব পচা, Negative
তোমাকে পছন্দ করিনা, Negative
গাঞ্জা খাস, Negative
তোমার বন্ধু কয় জন, Positive
তোমার কয়টা বন্ধু আছে, Positive
একজন বন্ধুর নাম বলো তো দেখি, Positive
কি বুঝাবো, Positive
বোকা রোবট কিছুই পারে না, Negative
আমি কে বলতে পারবা, Positive
আমার সালাম নিবা, Positive
খুব ভালো লাগছে না, Negative
একদম বেকার, Negative
কি বোকা রোবট, Negative
আমি যে এত বুকা বলতেছি তোমার গায়ে লাগেনা, Negative
ন্যাকামো করো, Negative
মজা লও মজা, Negative
অন্য বিষয়টা কি, Positive
এটা সত্য বাংলাদেশের রাজধানী কোথায়, Positive
তোমাকে আরো অনেক শিখতে হবে, Positive
না তো মাত্র শুনলাম, Positive
দেন আমি কি জাপানি কই, Negative
আচ্ছা চলো কথা বলি, Positive
তোমার নাম কি, Positive
কিসের মুড নাই, Negative
